s_ra	s_dec
-----------------------
229.16757936254987	0.2505302166666899
217.3594199999911	0.39756421000001474
229.16757937099206	0.25053026666700534
229.16757937103208	0.25053026666698114
229.16757937099877	0.25053026666699024
229.16757936250767	0.2505302166666609
229.16757937095494	0.25053026666712824
229.16757937095832	0.25053026666711986
229.16757936254396	0.25053021666669134
229.16757937095358	0.2505302666671367
229.16757937095403	0.2505302666671239
229.1675793709644	0.2505302666670969
229.16757936248743	0.25053021666668784
229.16757937095448	0.25053026666713063
229.16757936250352	0.2505302166666502
229.16757937095215	0.25053026666713896
229.16757937098444	0.2505302666670475
229.16757937098498	0.2505302666670537
133.40600539999102	0.7360170999999959
229.16757937098208	0.250530266667026
179.7613370833645	0.28690194444446654
229.16757941666668	0.25053030555555555
229.16757937098504	0.2505302666670627
134.4501666666345	0.7780555555556319
229.16757936244795	0.2505302166668394
217.5520200000192	0.33357013999998736
229.1675793710478	0.2505302666669977
229.16757937100803	0.2505302666669798
229.1675793624908	0.2505302166666868
173.26262509994888	0.2636057000000808
229.167579375	0.2505302222222222
171.90304166671166	0.3952388888890088
134.61917083331787	0.637113888889036
229.16757936247268	0.2505302166667215
134.44990083333334	0.7774241666666669
171.32464583327663	0.35048944444461216
173.26262509996684	0.2636057000000261
166.63862500005382	0.28000833333347186
134.61927916666667	0.6374555555555556
229.16757936245665	0.25053021666677894
218.05117999999587	0.2232450500000037
134.4499	0.7774241666666667
